| cordova         | AK | disk     | UFO ALIEN ABDUCTION AND SPACE CRAFT INCOUNTER A DEMENSHONAL SPEED TRAIL WAS LEFT                                                                               |  1974 |
| --------------- | -- | -------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----- |
| rogers          | AR | unknown  | ((HOAX??))  abduction. 500 Lights On Object0: Yes                                                                                                              | 2,007 |
| phoenix         | AZ | sphere   | Sighting &amp; Possible abduction                                                                                                                              | 1,983 |
| fountain valley | CA | light    | Possible abduction in Fountain Valley&#44 California&#44 intellegent life has arrived and wants us to know&#33                                                 | 2,012 |
| los osos        | CA | sphere   | Possible UFO abduction&#44                                                                                                                                     | 1,998 |
| san francisco   | CA | other    | Abduction case&#44with 1 twist. Aliens left  unearthly communications object as proof of contact&#33  500 Lights On Object0: Yes                               | 1,987 |
| sonora          | CA | light    | HBCCUFO CANADIAN REPORT:  Large bluish/white light and possible abduction.                                                                                     | 2,004 |
| woodland        | CA | unknown  | Early morning abduction/visitation on november 21&#44 2011                                                                                                     | 2,011 |
| woodland        | CA | unknown  | Re: &quot;Abduction&quot; at Woodland&#44 CA the description follows the traditional &quot;abduction&quot; scenario. See this site: http://www.news.harvard.ed | 2,011 |
| evergreen       | CO | disk     | Childhood abduction and mental and visual encounters through out life.                                                                                         | 1,952 |
| manchester      | CT | unknown  | Nightime visitation in Connecticut-1973; this was a probable abduction. 500 Lights On Object0: Yes                                                             | 1,975 |
| milford         | CT | other    | Strange craft over house&#44 possible abduction                                                                                                                | 1,980 |
| waterbury       | CT | disk     | I witnessed an abduction from my backyard. 500 Lights On Object0: Yes                                                                                          | 2,002 |
| seminole        | FL | other    | Thousands of Crows extradiminsional being abduction.                                                                                                           | 2,012 |
| trenton         | GA | unknown  | A brief encounter with an Unidentified Flying Object&#44 belief is near-abduction sighting.                                                                    | 2,012 |
| geneseo         | IL | unknown  | Early morning abduction                                                                                                                                        | 1,970 |
| north riverside | IL | light    | Attempted abduction [?] of 2 people in Suburban Bike Trail by a U.F.O. 500 Lights On Object0: Yes                                                              | 2,008 |
