Location.City,Location.State,Data.Shape,Data.Description excerpt,Dates.Sighted.Year
anchorage,AK,triangle,Triangular shaped UFO blocks out starlight Anchorage evening sky,2007
anchorage,AK,triangle,Flashing lights&#44 triangular. Star sized&#44 clear night&#44 2 witnesses.,2012
anchorage,AK,triangle,UFO between our neighbors house and ours in Anchorage&#44 Alaska.,2012
anchorage,AK,triangle,Silent Objects over Anchorage Alaska while northern lights were out.,2010
anchorage,AK,triangle,Low flying triangular craft noticed traveling south along mountain range in Anchorage.,2002
bethel,AK,triangle,I happened to look out my back window and was shocked to see a huge triangular shaped craft at a very high altitude.,1996
bethel,AK,triangle,Triangle shaped and bright orange.,2014
delta junction,AK,triangle,2 UFO&#39s bright orange lights in Delta Junction&#44 Alaska,2013
juneau,AK,triangle,Triangular shaped craft with red lights seen lowering from the sky.,2009
juneau,AK,triangle,Seeing 3 space crafts in one night&#44,1998
kodiak,AK,triangle,Three white lights triangular shape seen over Pillar Mountain Kodiak Alaska.,2013
nikiski,AK,triangle,three of us were traveling to town when we witnessed what seemed to be a star       shaped bright light. As we approched the light&#44 we,2005
north pole,AK,triangle,Triangle shaped&#44 orange and yellow light. moving in erratic behavior for about  8 min.,2011
north pole,AK,triangle,It was dark and we noticed six circular lights in a triangular formation pretty high up in the sky moving pretty slow from the south we,2011
petersburg,AK,triangle,A silent lighted triangle,2001
seward,AK,triangle,Seward Alaska&#44 April 2001--massive sighting of battleship sized black triangle and other UFO&#39s could not be confirmed.,2001
wasilla,AK,triangle,a tiangle shaped craft with yellow lights below flew over.,2011
wasilla,AK,triangle,ON 3/16/2013 AT 23:20 SEEN NORTHERN LIGHTS THROUGH WINDOW WHILE GETTING READY FOR BED. WENT OUTSIDE TO ENJOY THE SHOW AND TOLD MY GIRLF,2013
wasilla,AK,triangle,A huge trianglar object moving in a true north direction.,1997
wasilla,AK,triangle,Stealth shapped silent object with no noise or vibration from north to south at slow sped and low altitude.,2005
wasilla,AK,triangle,3 lights low on north horizon outside of Wasilla&#44 AK 01/20/09 @ 7:15pm local time.,2009
wasilla,AK,triangle,Triangle craft silently maneuvering over Wasilla at 230 am,2014
wasilla,AK,triangle,3 red-orange lights on low flying UFO(s) off Parks Hwy in Wasilla in triangle formation.,2014
athens,AL,triangle,Triangle shape object moving silently passed directly over my head.,2006
athens,AL,triangle,2 Triangular aircraft in Athens&#44 AL,2007
athens,AL,triangle,Triangular shaped craft with three dimmly lit lights on the bottom of it and It was following something on the interstate going south.,2003
birmingham,AL,triangle,Black triangle materialized overhead and proceeded southbound,2010
birmingham,AL,triangle,three lights that formed a triangle in the night sky,1980
birmingham,AL,triangle,Craft puzzled by pilot...,2005
